Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season
Michael Adams,"Oct 25, '85, SAC vs. LAC",23,1,18,139,16,44,0,3,8,12,2,6,22,9,1,11,9,40,.364,.000,.667,7.7,2.2,0.3,1.2,0.5,0.1,1985-86
John Battle,"Oct 26, '85, ATL @ MIL",23,1,64,639,101,222,0,7,75,103,12,62,74,23,3,47,80,277,.455,.000,.728,10.0,4.3,1.0,1.2,0.4,0.0,1985-86
Benoit Benjamin,"Oct 25, '85, LAC @ SAC",21,1,79,2088,324,661,1,3,229,307,161,600,79,64,206,145,286,878,.490,.333,.746,26.4,11.1,7.6,1.0,0.8,2.6,1985-86
Uwe Blab,"Oct 26, '85, DAL vs. SEA",23,1,48,409,44,94,0,0,36,67,25,91,17,3,12,28,65,124,.468,,.537,8.5,2.6,1.9,0.4,0.1,0.3,1985-86
Manute Bol,"Oct 25, '85, WSB @ ATL",23,1,80,2090,128,278,0,1,42,86,123,477,23,28,397,65,255,298,.460,.000,.488,26.1,3.7,6.0,0.3,0.4,5.0,1985-86
Mike Brittain,"Oct 29, '85, SAS vs. UTA",22,1,32,219,22,43,0,0,10,19,10,49,5,3,12,20,54,54,.512,,.526,6.8,1.7,1.5,0.2,0.1,0.4,1985-86
Terry Catledge,"Oct 26, '85, PHI @ NYK",22,1,64,1092,202,431,0,4,90,139,107,272,21,31,8,69,127,494,.469,.000,.647,17.1,7.7,4.3,0.3,0.5,0.1,1985-86
Lorenzo Charles,"Oct 25, '85, ATL vs. WSB",22,1,36,273,49,88,0,0,24,36,13,39,8,2,6,18,37,122,.557,,.667,7.6,3.4,1.1,0.2,0.1,0.2,1985-86
Fred Cofield,"Nov 3, '85, NYK @ POR",24,1,45,469,75,184,3,15,12,20,6,46,82,20,3,49,65,165,.408,.200,.600,10.4,3.7,1.0,1.8,0.4,0.1,1985-86
David Cooke,"Oct 25, '85, SAC vs. LAC",22,1,6,38,2,11,0,0,5,10,5,10,1,4,0,2,5,9,.182,,.500,6.3,1.5,1.7,0.2,0.7,0.0,1985-86
Tyrone Corbin,"Nov 14, '85, SAS @ DEN",23,1,16,174,27,64,0,1,10,14,11,25,11,11,2,12,21,64,.422,.000,.714,10.9,4.0,1.6,0.7,0.7,0.1,1985-86
Ron Crevier,"Oct 25, '85, GSW vs. DEN",27,1,3,4,0,3,0,0,0,2,1,1,0,0,0,0,2,0,.000,,.000,1.3,0.0,0.3,0.0,0.0,0.0,1985-86
Jeff Cross,"Feb 1, '86, LAC @ POR",24,1,21,128,6,24,0,0,14,25,9,30,1,2,3,6,38,26,.250,,.560,6.1,1.2,1.4,0.0,0.1,0.1,1985-86
Joe Dumars*,"Oct 25, '85, DET vs. MIL",22,1,82,1957,287,597,5,16,190,238,60,119,390,66,11,158,200,769,.481,.313,.798,23.9,9.4,1.5,4.8,0.8,0.1,1985-86
Patrick Ewing*,"Oct 26, '85, NYK vs. PHI",23,1,50,1771,386,814,0,5,226,306,124,451,102,54,103,172,191,998,.474,.000,.739,35.4,20.0,9.0,2.0,1.1,2.1,1985-86
Georgi Glouchkov,"Nov 6, '85, PHO vs. ATL",26,1,49,772,84,209,1,1,70,122,31,163,32,26,25,76,124,239,.402,1.000,.574,15.8,4.9,3.3,0.7,0.5,0.5,1985-86
A.C. Green,"Oct 26, '85, LAL @ SAS",22,1,82,1542,209,388,1,6,102,167,160,381,54,49,49,99,229,521,.539,.167,.611,18.8,6.4,4.6,0.7,0.6,0.6,1985-86
Ken Green,"Mar 29, '86, NYK vs. CHI",26,1,7,72,13,27,0,0,5,9,12,27,2,4,0,1,8,31,.481,,.556,10.3,4.4,3.9,0.3,0.6,0.0,1985-86
Kenny Green,"Oct 29, '85, WSB @ CLE",21,1,41,453,83,192,0,1,35,49,27,73,9,5,9,35,53,201,.432,.000,.714,11.0,4.9,1.8,0.2,0.1,0.2,1985-86
Claude Gregory,"Feb 1, '86, WSB @ DET",27,1,2,2,1,2,0,0,0,0,2,2,0,1,0,2,1,2,.500,,,1.0,1.0,1.0,0.0,0.5,0.0,1985-86
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1985-86
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1985-86
Steve Harris,"Oct 25, '85, HOU @ UTA",22,1,57,482,103,233,1,5,50,54,25,57,50,21,4,34,55,257,.442,.200,.926,8.5,4.5,1.0,0.9,0.4,0.1,1985-86
Jerome Henderson,"Mar 11, '86, LAL vs. LAC",26,1,1,3,2,3,0,0,0,0,0,1,0,0,0,0,1,4,.667,,,3.0,4.0,1.0,0.0,0.0,0.0,1985-86
Carl Henry,"Oct 25, '85, SAC vs. LAC",25,1,28,149,31,67,4,10,12,17,8,19,4,5,0,9,11,78,.463,.400,.706,5.3,2.8,0.7,0.1,0.2,0.0,1985-86
Alfredrick Hughes,"Oct 26, '85, SAS vs. LAL",23,1,68,866,152,372,3,17,49,84,49,113,61,26,5,63,79,356,.409,.176,.583,12.7,5.2,1.7,0.9,0.4,0.1,1985-86
Ken Johnson,"Oct 27, '85, POR vs. GSW",23,1,64,815,113,214,0,0,37,85,90,243,19,13,22,59,147,263,.528,,.435,12.7,4.1,3.8,0.3,0.2,0.3,1985-86
Yvon Joseph,"Oct 26, '85, NJN @ IND",28,1,1,5,0,0,0,0,2,2,0,0,0,0,0,0,1,2,,,1.000,5.0,2.0,0.0,0.0,0.0,0.0,1985-86
Harold Keeling,"Jan 4, '86, DAL vs. UTA",22,1,20,75,17,39,0,0,10,14,3,6,10,7,0,7,9,44,.436,,.714,3.8,2.2,0.3,0.5,0.4,0.0,1985-86
Joe Kleine,"Oct 25, '85, SAC vs. LAC",24,1,80,1180,160,344,0,0,94,130,113,373,46,24,34,107,224,414,.465,,.723,14.8,5.2,4.7,0.6,0.3,0.4,1985-86
Jon Koncak,"Oct 25, '85, ATL vs. WSB",22,1,82,1695,263,519,0,1,156,257,171,467,55,37,69,111,296,682,.507,.000,.607,20.7,8.3,5.7,0.7,0.5,0.8,1985-86
Keith Lee,"Dec 14, '85, CLE vs. BOS",23,1,58,1197,177,380,2,9,75,96,116,351,67,29,37,78,204,431,.466,.222,.781,20.6,7.4,6.1,1.2,0.5,0.6,1985-86
Karl Malone*,"Oct 25, '85, UTA vs. HOU",22,1,81,2475,504,1016,0,2,195,405,174,718,236,105,44,279,295,1203,.496,.000,.481,30.6,14.9,8.9,2.9,1.3,0.5,1985-86
Bill Martin,"Oct 26, '85, IND vs. NJN",23,1,66,691,143,298,0,8,46,54,42,102,52,21,7,58,108,332,.480,.000,.852,10.5,5.0,1.5,0.8,0.3,0.1,1985-86
Brian Martin,"Oct 29, '85, SEA @ HOU",23,1,8,21,3,7,0,0,0,2,1,4,0,0,1,2,7,6,.429,,.000,2.6,0.8,0.5,0.0,0.0,0.1,1985-86
Dwayne McClain,"Oct 26, '85, IND vs. NJN",22,1,45,461,69,180,1,9,18,35,14,30,67,38,4,40,61,157,.383,.111,.514,10.2,3.5,0.7,1.5,0.8,0.1,1985-86
Xavier McDaniel,"Oct 26, '85, SEA @ DAL",22,1,82,2706,576,1176,2,10,250,364,307,655,193,101,37,248,305,1404,.490,.200,.687,33.0,17.1,8.0,2.4,1.2,0.5,1985-86
Ben McDonald,"Mar 4, '86, CLE @ LAC",23,1,21,266,28,58,0,1,5,8,15,38,9,7,1,10,30,61,.483,.000,.625,12.7,2.9,1.8,0.4,0.3,0.0,1985-86
Chris McNealy,"Feb 13, '86, NYK vs. PHI",24,1,30,627,70,144,0,0,31,47,62,203,41,38,12,35,88,171,.486,,.660,20.9,5.7,6.8,1.4,1.3,0.4,1985-86
Dirk Minniefield,"Oct 25, '85, CLE @ CHI",25,1,76,1131,167,347,10,37,73,93,43,131,269,65,1,108,165,417,.481,.270,.785,14.9,5.5,1.7,3.5,0.9,0.0,1985-86
Perry Moss,"Oct 25, '85, WSB @ ATL",27,1,72,1012,116,292,7,32,65,89,34,115,108,56,15,79,132,304,.397,.219,.730,14.1,4.2,1.6,1.5,0.8,0.2,1985-86
Chris Mullin*,"Nov 6, '85, GSW vs. SEA",22,1,55,1391,287,620,5,27,189,211,42,115,105,70,23,75,130,768,.463,.185,.896,25.3,14.0,2.1,1.9,1.3,0.4,1985-86
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1985-86
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1985-86
Charles Oakley,"Oct 25, '85, CHI vs. CLE",22,1,77,1772,281,541,0,3,178,269,255,664,133,68,30,175,250,740,.519,.000,.662,23.0,9.6,8.6,1.7,0.9,0.4,1985-86
Michael Phelps,"Oct 26, '85, SEA @ DAL",24,1,70,880,117,286,1,12,44,74,29,89,71,45,1,62,86,279,.409,.083,.595,12.6,4.0,1.3,1.0,0.6,0.0,1985-86
Ed Pinckney,"Oct 25, '85, PHO @ POR",22,1,80,1602,255,457,0,2,171,254,95,308,90,71,37,148,190,681,.558,.000,.673,20.0,8.5,3.9,1.1,0.9,0.5,1985-86
Terry Porter,"Oct 25, '85, POR vs. PHO",22,1,79,1214,212,447,13,42,125,155,35,117,198,81,1,106,136,562,.474,.310,.806,15.4,7.1,1.5,2.5,1.0,0.0,1985-86
Blair Rasmussen,"Oct 25, '85, DEN @ GSW",23,1,48,330,61,150,0,0,31,39,37,97,16,3,10,40,63,153,.407,,.795,6.9,3.2,2.0,0.3,0.1,0.2,1985-86
Jerry Reynolds,"Oct 26, '85, MIL vs. ATL",23,1,55,508,72,162,1,2,58,104,37,80,86,43,19,52,57,203,.444,.500,.558,9.2,3.7,1.5,1.6,0.8,0.3,1985-86
Derrick Rowland,"Mar 22, '86, MIL vs. ATL",26,1,2,9,1,3,0,0,1,2,0,1,1,0,0,0,1,3,.333,,.500,4.5,1.5,0.5,0.5,0.0,0.0,1985-86
Detlef Schrempf,"Oct 26, '85, DAL vs. SEA",23,1,64,969,142,315,3,7,110,152,70,198,88,23,10,84,166,397,.451,.429,.724,15.1,6.2,3.1,1.4,0.4,0.2,1985-86
Carey Scurry,"Oct 25, '85, UTA vs. HOU",23,1,78,1168,142,301,1,11,78,126,97,242,85,78,66,96,171,363,.472,.091,.619,15.0,4.7,3.1,1.1,1.0,0.8,1985-86
Mike Smrek,"Nov 2, '85, CHI @ SEA",23,1,38,408,46,122,0,2,16,29,46,110,19,6,23,29,95,108,.377,.000,.552,10.7,2.8,2.9,0.5,0.2,0.6,1985-86
Alex Stivrins,"Oct 29, '85, SEA @ HOU",23,1,3,14,1,4,0,0,1,4,3,3,1,0,0,3,2,3,.250,,.250,4.7,1.0,1.0,0.3,0.0,0.0,1985-86
Greg Stokes,"Nov 16, '85, PHI @ WSB",22,1,31,350,56,119,0,1,14,21,27,57,17,14,11,19,56,126,.471,.000,.667,11.3,4.1,1.8,0.5,0.5,0.4,1985-86
Bob Thornton,"Oct 29, '85, NYK @ ATL",23,1,71,1323,125,274,0,0,86,162,113,290,43,30,7,83,209,336,.456,,.531,18.6,4.7,4.1,0.6,0.4,0.1,1985-86
Wayman Tisdale,"Oct 26, '85, IND vs. NJN",21,1,81,2277,516,1002,0,2,160,234,191,584,79,32,44,188,290,1192,.515,.000,.684,28.1,14.7,7.2,1.0,0.4,0.5,1985-86
Sedric Toney,"Oct 25, '85, ATL vs. WSB",23,1,13,230,28,66,3,10,21,31,3,25,26,6,0,22,24,80,.424,.300,.677,17.7,6.2,1.9,2.0,0.5,0.0,1985-86
Nick Vanos,"Mar 26, '86, PHO vs. SEA",22,1,11,202,23,72,0,0,8,23,21,60,16,2,5,20,34,54,.319,,.348,18.4,4.9,5.5,1.5,0.2,0.5,1985-86
Sam Vincent,"Oct 26, '85, BOS @ CLE",22,1,57,432,59,162,1,4,65,70,11,48,69,17,4,49,59,184,.364,.250,.929,7.6,3.2,0.8,1.2,0.3,0.1,1985-86
Spud Webb,"Oct 25, '85, ATL vs. WSB",22,1,79,1229,199,412,2,11,216,275,27,123,337,82,5,159,164,616,.483,.182,.785,15.6,7.8,1.6,4.3,1.0,0.1,1985-86
Bill Wennington,"Oct 29, '85, DAL vs. LAL",22,1,56,562,72,153,0,4,45,62,32,132,21,11,22,21,83,189,.471,.000,.726,10.0,3.4,2.4,0.4,0.2,0.4,1985-86
Gerald Wilkins,"Oct 26, '85, NYK vs. PHI",22,1,81,2025,437,934,7,25,132,237,92,208,161,68,9,157,155,1013,.468,.280,.557,25.0,12.5,2.6,2.0,0.8,0.1,1985-86
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,1985-86
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,1985-86
Pete Williams,"Oct 29, '85, DEN @ PHO",20,1,53,573,67,111,0,0,17,40,47,146,14,19,23,19,68,151,.604,,.425,10.8,2.8,2.8,0.3,0.4,0.4,1985-86
Voise Winters,"Nov 16, '85, PHI @ WSB",23,1,4,17,3,13,0,1,0,0,1,3,0,1,0,2,1,6,.231,.000,,4.3,1.5,0.8,0.0,0.3,0.0,1985-86
