Player,Debut,Age,Yrs,TOT_G,TOT_MP,TOT_FG,TOT_FGA,TOT_3P,TOT_3PA,TOT_FT,TOT_FTA,TOT_ORB,TOT_TRB,TOT_AST,TOT_STL,TOT_BLK,TOT_TOV,TOT_PF,TOT_PTS,FG%,3P%,FT%,PG_MP,PG_PTS,PG_TRB,PG_AST,PG_STL,PG_BLK,Season,League
David Andersen,"Oct 27, '09, HOU @ POR",29,1,63,891,147,340,27,78,46,67,54,208,44,15,12,37,119,367,.432,.346,.687,14.1,5.8,3.3,0.7,0.2,0.2,2009-10,NBA
Antonio Anderson,"Mar 3, '10, OKC @ DEN",24,1,1,15,1,3,0,0,0,0,1,1,0,0,0,1,1,2,.333,,,15.0,2.0,1.0,0.0,0.0,0.0,2009-10,NBA
Jeff Ayres,"Dec 22, '09, POR @ DAL",22,1,39,405,43,65,0,0,18,20,25,98,1,7,16,12,76,104,.662,,.900,10.4,2.7,2.5,0.0,0.2,0.4,2009-10,NBA
Rodrigue Beaubois,"Oct 30, '09, DAL @ LAL",21,1,56,700,155,299,45,110,42,52,12,78,74,29,12,54,84,397,.518,.409,.808,12.5,7.1,1.4,1.3,0.5,0.2,2009-10,NBA
DeJuan Blair,"Oct 28, '09, SAS vs. NOH",20,1,82,1494,275,495,0,2,88,161,200,526,65,50,39,112,224,638,.556,.000,.547,18.2,7.8,6.4,0.8,0.6,0.5,2009-10,NBA
Jon Brockman,"Oct 28, '09, SAC @ OKC",22,1,52,654,55,103,0,0,37,62,105,213,22,15,5,23,115,147,.534,,.597,12.6,2.8,4.1,0.4,0.3,0.1,2009-10,NBA
Derrick Brown,"Oct 28, '09, CHA @ BOS",22,1,57,535,68,147,2,7,48,72,31,78,19,21,10,19,53,186,.463,.286,.667,9.4,3.3,1.4,0.3,0.4,0.2,2009-10,NBA
Chase Budinger,"Oct 27, '09, HOU @ POR",21,1,74,1488,249,565,92,249,67,87,38,220,88,34,11,48,85,657,.441,.369,.770,20.1,8.9,3.0,1.2,0.5,0.1,2009-10,NBA
DeMarre Carroll,"Oct 28, '09, MEM vs. DET",23,1,71,795,88,222,0,6,33,53,53,150,33,28,9,24,107,209,.396,.000,.623,11.2,2.9,2.1,0.5,0.4,0.1,2009-10,NBA
Omri Casspi,"Oct 28, '09, SAC @ OKC",21,1,77,1931,300,672,75,203,117,174,75,349,95,54,17,98,125,792,.446,.369,.672,25.1,10.3,4.5,1.2,0.7,0.2,2009-10,NBA
Earl Clark,"Oct 28, '09, PHO @ LAC",22,1,51,383,56,151,2,5,26,36,18,62,21,7,13,23,25,140,.371,.400,.722,7.5,2.7,1.2,0.4,0.1,0.3,2009-10,NBA
Darren Collison,"Oct 28, '09, NOH @ SAS",22,1,76,2109,376,789,46,115,148,174,41,192,432,78,4,202,92,946,.477,.400,.851,27.8,12.4,2.5,5.7,1.0,0.1,2009-10,NBA
Dante Cunningham,"Nov 8, '09, POR vs. MIN",22,1,63,707,106,214,0,2,31,48,54,160,14,24,22,15,97,243,.495,.000,.646,11.2,3.9,2.5,0.2,0.4,0.3,2009-10,NBA
JamesOn Curry,"Jan 25, '10, LAC @ BOS",24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2009-10,NBA
Stephen Curry,"Oct 28, '09, GSW vs. HOU",21,1,80,2896,528,1143,166,380,177,200,48,356,472,152,19,243,252,1399,.462,.437,.885,36.2,17.5,4.5,5.9,1.9,0.2,2009-10,NBA
Austin Daye,"Oct 30, '09, DET vs. OKC",21,1,69,915,137,295,29,95,46,56,34,174,34,25,26,48,114,349,.464,.305,.821,13.3,5.1,2.5,0.5,0.4,0.4,2009-10,NBA
DeMar DeRozan,"Oct 28, '09, TOR vs. CLE",20,1,77,1664,255,512,4,16,148,194,66,223,53,43,18,62,176,662,.498,.250,.763,21.6,8.6,2.9,0.7,0.6,0.2,2009-10,NBA
Toney Douglas,"Oct 28, '09, NYK @ MIA",23,1,56,1087,179,391,68,175,55,68,40,108,112,42,3,55,116,481,.458,.389,.809,19.4,8.6,1.9,2.0,0.8,0.1,2009-10,NBA
Wayne Ellington,"Oct 28, '09, MIN vs. NJN",22,1,76,1384,190,448,64,162,61,70,33,159,74,20,5,74,72,505,.424,.395,.871,18.2,6.6,2.1,1.0,0.3,0.1,2009-10,NBA
Tyreke Evans,"Oct 28, '09, SAC @ OKC",20,1,72,2677,533,1165,36,141,348,465,66,380,414,109,26,216,204,1450,.458,.255,.748,37.2,20.1,5.3,5.8,1.5,0.4,2009-10,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2009-10,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2009-10,NBA
Jonny Flynn,"Oct 28, '09, MIN vs. NJN",20,1,81,2339,397,952,77,215,223,270,24,191,356,82,2,233,98,1094,.417,.358,.826,28.9,13.5,2.4,4.4,1.0,0.0,2009-10,NBA
Sundiata Gaines,"Jan 6, '10, UTA vs. MEM",23,1,32,217,38,82,7,26,23,46,6,29,39,12,0,14,17,106,.463,.269,.500,6.8,3.3,0.9,1.2,0.4,0.0,2009-10,NBA
Alonzo Gee,"Mar 11, '10, WAS vs. ATL",22,1,11,182,28,59,7,9,18,29,15,33,7,7,1,10,13,81,.475,.778,.621,16.5,7.4,3.0,0.6,0.6,0.1,2009-10,NBA
Taj Gibson,"Oct 29, '09, CHI vs. SAS",24,1,82,2204,311,629,0,0,113,175,226,611,70,50,104,114,282,735,.494,,.646,26.9,9.0,7.5,0.9,0.6,1.3,2009-10,NBA
Trey Gilder,"Oct 28, '09, MEM vs. DET",25,1,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1.000,,,2.5,1.0,0.5,0.0,0.5,0.0,2009-10,NBA
Danny Green,"Nov 12, '09, CLE @ MIA",22,1,20,115,15,39,6,22,4,6,8,17,5,6,3,5,9,40,.385,.273,.667,5.8,2.0,0.9,0.3,0.3,0.2,2009-10,NBA
Taylor Griffin,"Nov 4, '09, PHO @ ORL",23,1,8,32,4,10,0,2,2,4,0,2,1,0,2,1,4,10,.400,.000,.500,4.0,1.3,0.3,0.1,0.0,0.3,2009-10,NBA
Tyler Hansbrough,"Nov 6, '09, IND vs. WAS",24,1,29,511,81,225,0,4,84,113,60,138,28,17,8,21,70,246,.360,.000,.743,17.6,8.5,4.8,1.0,0.6,0.3,2009-10,NBA
James Harden,"Oct 28, '09, OKC vs. SAC",20,1,76,1738,233,578,93,248,194,240,47,244,137,80,20,106,200,753,.403,.375,.808,22.9,9.9,3.2,1.8,1.1,0.3,2009-10,NBA
Gerald Henderson,"Oct 28, '09, CHA @ BOS",22,1,43,355,37,104,4,19,35,47,15,55,13,10,9,14,25,113,.356,.211,.745,8.3,2.6,1.3,0.3,0.2,0.2,2009-10,NBA
Jordan Hill,"Oct 28, '09, NYK @ MIA",22,1,47,624,99,201,0,2,46,68,76,175,20,14,21,30,92,244,.493,.000,.676,13.3,5.2,3.7,0.4,0.3,0.4,2009-10,NBA
Jrue Holiday,"Oct 30, '09, PHI vs. MIL",19,1,73,1767,230,520,62,159,65,86,56,191,280,79,18,156,153,587,.442,.390,.756,24.2,8.0,2.6,3.8,1.1,0.2,2009-10,NBA
Lester Hudson,"Oct 28, '09, BOS vs. CHA",25,1,25,131,21,53,5,16,11,13,7,18,13,8,3,14,12,58,.396,.313,.846,5.2,2.3,0.7,0.5,0.3,0.1,2009-10,NBA
Chris Hunter,"Nov 20, '09, GSW vs. POR",25,1,60,783,109,217,0,4,52,69,56,167,37,13,35,30,132,270,.502,.000,.754,13.1,4.5,2.8,0.6,0.2,0.6,2009-10,NBA
Serge Ibaka,"Oct 30, '09, OKC @ DET",20,1,73,1323,201,370,1,2,58,92,138,397,10,25,97,68,194,461,.543,.500,.630,18.1,6.3,5.4,0.1,0.3,1.3,2009-10,NBA
Cedric Jackson,"Jan 23, '10, CLE vs. OKC",23,1,12,74,6,20,1,6,7,12,2,8,14,3,2,11,7,20,.300,.167,.583,6.2,1.7,0.7,1.2,0.3,0.2,2009-10,NBA
Othyus Jeffers,"Mar 6, '10, UTA vs. LAC",24,1,14,73,12,29,0,0,13,19,8,19,1,4,0,6,10,37,.414,,.684,5.2,2.6,1.4,0.1,0.3,0.0,2009-10,NBA
Brandon Jennings,"Oct 30, '09, MIL @ PHI",20,1,82,2671,451,1216,145,388,223,273,49,282,470,105,18,200,191,1270,.371,.374,.817,32.6,15.5,3.4,5.7,1.3,0.2,2009-10,NBA
Jonas Jerebko,"Oct 31, '09, DET @ MIL",22,1,80,2232,290,603,36,115,125,176,194,478,58,79,29,82,230,741,.481,.313,.710,27.9,9.3,6.0,0.7,1.0,0.4,2009-10,NBA
James Johnson,"Oct 30, '09, CHI @ BOS",22,1,65,757,95,210,15,46,51,70,34,128,48,21,43,62,126,256,.452,.326,.729,11.6,3.9,2.0,0.7,0.3,0.7,2009-10,NBA
,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,2009-10,NBA
Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,2009-10,NBA
Oliver Lafayette,"Apr 14, '10, BOS vs. MIL",25,1,1,22,3,6,1,2,0,0,1,4,2,0,0,1,0,7,.500,.500,,22.0,7.0,4.0,2.0,0.0,0.0,2009-10,NBA
Marcus Landry,"Oct 28, '09, NYK @ MIA",24,1,18,111,16,43,9,28,3,5,5,19,0,1,2,6,14,44,.372,.321,.600,6.2,2.4,1.1,0.0,0.1,0.1,2009-10,NBA
